City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Arlit,0,NE,1623605471,8,18.7369,7.3853,101.43,12.59
Castro,0,BR,1623605471,52,-24.7911,-50.0119,64.6,4.34
Ahipara,92,NZ,1623605471,96,-35.1667,173.1667,61.63,6.55
Isabela,70,PH,1623605472,84,6.7085,121.9711,78.66,3.53
Florianópolis,0,BR,1623605472,61,-27.6146,-48.5012,68.4,6.91
Saskylakh,60,RU,1623605472,63,71.9167,114.0833,39.45,11.61
Malbork,2,PL,1623605473,78,54.0359,19.0266,65.88,7.0
Atuona,63,PF,1623605473,77,-9.8,-139.0333,79.63,19.17
Kapaa,75,US,1623605474,75,22.0752,-159.319,75.52,13.8
Aklavik,90,CA,1623605475,93,68.2191,-135.0107,47.12,9.22
Kitimat,98,CA,1623605459,60,54.0524,-128.6534,55.78,0.25
Torbat-e Jām,0,IR,1623605475,15,35.244,60.6225,84.61,7.7
Barrow,90,US,1623605476,93,71.2906,-156.7887,35.62,12.66
Kavieng,12,PG,1623605476,78,-2.5744,150.7967,81.9,10.69
Prince Rupert,90,CA,1623605280,94,54.3161,-130.3201,53.69,4.61
Valdivia,100,CL,1623605477,78,-39.8142,-73.2459,48.29,0.63
Zhuanghe,99,CN,1623605477,89,39.7008,122.9911,63.68,6.26
Orlik,52,RU,1623605477,88,52.5178,99.825,39.87,3.24
Tolstoy-Yurt,40,RU,1623605478,94,43.4444,45.7722,64.72,4.47
Puerto Ayora,87,EC,1623605478,84,-0.7393,-90.3518,78.76,5.99
Birin,31,NP,1623605479,84,26.8865,88.0718,64.83,5.41
Tuktoyaktuk,75,CA,1623605479,100,69.4541,-133.0374,37.4,9.22
Clyde River,90,CA,1623605479,86,70.4692,-68.5914,32.23,19.57
Riyadh,1,SA,1623605249,8,24.6877,46.7219,98.74,18.41
Kirkwall,75,GB,1623605480,94,58.9848,-2.9587,61.14,19.57
Sydney,0,AU,1623605395,73,-33.8679,151.2073,53.71,1.01
Ust-Nera,34,RU,1623605481,70,64.5667,143.2,58.06,0.54
Nizhniy Tsasuchey,100,RU,1623605482,86,50.5167,115.1333,61.48,4.63
Thompson,75,CA,1623605415,81,55.7435,-97.8558,50.16,11.5
Bangolo,91,CI,1623605482,72,7.0069,-7.475,81.59,4.94
Bethel,90,US,1623605280,63,41.3712,-73.414,80.85,5.75
Belfast,40,GB,1623605350,65,54.5833,-5.9333,67.37,11.5
Avarua,20,CK,1623605483,68,-21.2078,-159.775,73.45,8.05
Khatanga,75,RU,1623605483,64,71.9667,102.5,39.7,5.1
Busselton,99,AU,1623605484,78,-33.65,115.3333,58.08,24.0
Sitka,40,US,1623605256,71,57.0531,-135.33,55.29,3.44
Lake City,75,US,1623605484,74,30.1897,-82.6393,91.74,6.91
Provideniya,100,RU,1623605485,97,64.3833,-173.3,36.12,11.92
New Norfolk,100,AU,1623605485,90,-42.7826,147.0587,51.93,0.47
Whitehorse,75,CA,1623605486,66,60.7161,-135.0538,55.09,3.0
Mogadishu,98,SO,1623605486,82,2.0371,45.3438,78.37,16.46
Aykhal,100,RU,1623605487,90,66.0,111.5,42.1,12.37
Fortuna,40,US,1623605487,62,40.5982,-124.1573,78.42,8.99
Albany,24,US,1623605322,54,42.6001,-73.9662,82.15,5.44
Berlevåg,100,NO,1623605488,85,70.8578,29.0864,48.0,17.05
Ankara,75,TR,1623605322,36,39.9199,32.8543,74.59,6.91
Alyangula,46,AU,1623605489,100,-13.8483,136.4192,66.07,0.0
Turukhansk,26,RU,1623605489,68,65.8167,87.9833,42.4,3.87
Chui,0,UY,1623605490,60,-33.6971,-53.4616,67.26,6.82
Bredasdorp,96,ZA,1623605490,88,-34.5322,20.0403,54.72,3.44
Port Lincoln,94,AU,1623605490,78,-34.7333,135.8667,57.56,10.31
Kahului,40,US,1623605491,81,20.8947,-156.47,75.22,16.11
Grand Gaube,22,MU,1623605491,78,-20.0064,57.6608,75.6,8.99
Batagay,100,RU,1623605492,48,67.6333,134.6333,53.37,4.74
Mar del Plata,0,AR,1623605373,75,-38.0023,-57.5575,70.09,10.0
Pacific Grove,40,US,1623605234,80,36.6177,-121.9166,77.61,5.99
Bengkulu,96,ID,1623605492,85,-3.8004,102.2655,76.87,6.15
Saint George,7,US,1623605228,10,37.1041,-113.5841,100.87,1.01
Yeppoon,43,AU,1623605493,90,-23.1333,150.7333,64.18,2.98
Hasaki,95,JP,1623605493,89,35.7333,140.8333,70.29,8.52
Warri,61,NG,1623605306,68,5.5167,5.75,85.08,8.97
Hong Kong,100,HK,1623605248,88,22.2855,114.1577,85.32,1.01
Saint Anthony,1,US,1623605494,29,45.0205,-93.218,89.15,1.99
Butaritari,100,KI,1623605495,76,3.0707,172.7902,81.84,8.43
Qaanaaq,35,GL,1623605495,81,77.484,-69.3632,37.22,1.88
Kaitangata,100,NZ,1623605495,98,-46.2817,169.8464,51.46,9.75
Jardim,0,BR,1623605496,35,-21.4803,-56.1381,78.51,5.08
Mehamn,99,NO,1623605496,93,71.0357,27.8492,46.58,21.88
Souillac,75,MU,1623605497,73,-20.5167,57.5167,75.58,14.97
Bambous Virieux,75,MU,1623605497,73,-20.3428,57.7575,75.45,14.97
Kutum,100,SD,1623605498,9,14.2,24.6667,90.97,9.01
Bathsheba,40,BB,1623605498,55,13.2167,-59.5167,88.41,23.02
Hofn,100,IS,1623605498,96,64.2539,-15.2082,37.99,10.94
Eyl,100,SO,1623605499,74,7.9803,49.8164,79.59,22.41
Torbay,40,CA,1623605499,68,47.6666,-52.7314,51.28,9.22
Sisimiut,100,GL,1623605500,78,66.9395,-53.6735,37.62,5.32
Abhā,18,SA,1623605500,9,18.2164,42.5053,77.25,11.5
Anáhuac,5,MX,1623605270,39,27.2333,-100.15,89.1,10.42
Vanavara,100,RU,1623605501,96,60.34,102.2797,46.06,9.42
Neyshabur,0,IR,1623605501,21,36.2133,58.7958,84.6,9.42
Tura,82,IN,1623605501,92,25.5198,90.2201,76.05,7.31
Ambulu,51,ID,1623605502,91,-8.345,113.6058,75.52,3.36
Hithadhoo,94,MV,1623605502,74,-0.6,73.0833,82.04,7.2
Cockburn Town,20,TC,1623605503,66,21.4612,-71.1419,85.96,14.97
Impfondo,98,CG,1623605503,90,1.6381,18.0667,74.05,1.43
Batticaloa,99,LK,1623605503,65,7.7102,81.6924,82.72,8.21
Port Alfred,41,ZA,1623605504,73,-33.5906,26.891,64.76,6.08
Gamba,71,GA,1623605504,85,-2.65,10.0,77.45,7.14
Nikolskoye,97,RU,1623605505,92,59.7035,30.7861,62.49,5.19
Jasper,1,US,1623605474,48,37.2001,-94.3502,86.83,5.01
Kloulklubed,81,PW,1623605505,75,7.0419,134.2556,81.1,11.9
San Patricio,20,US,1623605506,46,28.017,-97.5169,90.88,2.55
Port-Gentil,75,GA,1623605506,83,-0.7193,8.7815,80.56,8.05
Santa Maria,0,BR,1623605507,56,-29.6842,-53.8069,69.1,5.75
Zaraza,10,VE,1623605507,31,9.3503,-65.3245,95.95,7.0
Lorengau,32,PG,1623605508,80,-2.0226,147.2712,81.28,5.88
Camapuã,0,BR,1623605509,27,-19.5314,-54.0439,85.01,1.63
Siuri,98,IN,1623605509,83,23.9167,87.5333,87.24,8.34
Fukuechō,0,JP,1623605509,87,32.6881,128.8419,70.45,1.81
Juneau,75,US,1623605510,80,58.3019,-134.4197,58.84,9.22
Cortez,1,US,1623605510,9,37.3489,-108.5859,88.7,13.8
Shakawe,4,BW,1623605511,27,-18.3667,21.85,59.77,4.74
Kailua,22,US,1623605511,69,21.4022,-157.7394,75.18,17.05
São Filipe,95,CV,1623605511,82,14.8961,-24.4956,76.05,5.06
Taywarah,0,AF,1623605512,20,33.35,64.4167,57.63,7.09
Hambantota,64,LK,1623605512,77,6.1241,81.1185,80.46,18.81
Cidreira,0,BR,1623605513,60,-30.1811,-50.2056,63.99,6.93
Belmonte,86,BR,1623605513,79,-15.8631,-38.8828,78.8,14.7
Kirensk,100,RU,1623605514,66,57.7853,108.1119,53.73,4.94
Katsuura,100,JP,1623605514,92,35.1333,140.3,73.11,8.48
Kruisfontein,57,ZA,1623605514,90,-34.0033,24.7314,59.88,12.88
Deputatsky,100,RU,1623605515,71,69.3,139.9,50.83,3.15
Davila,72,PH,1623605515,82,18.4726,120.5763,80.89,14.25
Lompoc,90,US,1623605516,86,34.6391,-120.4579,69.94,6.91
Isangel,12,VU,1623605516,88,-19.55,169.2667,73.89,8.63
Mount Gambier,85,AU,1623605516,87,-37.8333,140.7667,48.11,6.91
Mahébourg,75,MU,1623605517,73,-20.4081,57.7,75.49,14.97
Calama,0,CL,1623605517,5,-22.4667,-68.9333,72.09,12.66
Ponta do Sol,59,PT,1623605518,76,32.6667,-17.1,74.01,5.77
Rundu,15,NA,1623605518,26,-17.9333,19.7667,60.39,5.86
Tiksi,100,RU,1623605518,86,71.6872,128.8694,42.33,4.83
‘Ewa Beach,90,US,1623605519,70,21.3156,-158.0072,75.15,5.01
Leningradskiy,35,RU,1623605519,88,69.3833,178.4167,34.5,11.14
Maumelle,12,US,1623605520,66,34.8668,-92.4043,92.8,1.99
Ocampo,100,MX,1623605520,59,21.65,-101.5,65.98,11.68
Pevek,58,RU,1623605520,66,69.7008,170.3133,40.46,1.74
Vao,74,NC,1623605521,84,-22.6667,167.4833,73.13,9.66
Kavaratti,100,IN,1623605521,77,10.5669,72.642,83.44,23.26
Muisne,100,EC,1623605522,82,0.6,-80.0333,78.13,9.44
Ancud,64,CL,1623605522,61,-41.8697,-73.8203,51.33,11.77
Douentza,71,ML,1623605522,16,14.9951,-2.9517,106.36,4.27
Kaset Sombun,100,TH,1623605523,95,16.2805,101.9542,72.27,5.01
Guangshui,100,CN,1623605523,88,31.6199,113.9978,79.12,4.41
Abadan,0,TM,1623605524,26,38.0507,58.2056,92.93,6.91
Dwārka,37,IN,1623605524,72,22.2394,68.9678,86.47,17.22
Sabha,0,LY,1623605524,17,27.0377,14.4283,89.74,13.29
Vostok,10,RU,1623605525,94,46.4856,135.8833,49.6,1.21
Körmend,17,HU,1623605525,53,47.011,16.606,68.95,16.96
Van,20,TR,1623605526,48,38.4924,43.3831,63.75,6.91
Alenquer,40,BR,1623605526,48,-1.9417,-54.7383,86.34,5.12
Darhan,99,MN,1623605527,64,49.4867,105.9228,55.63,7.11
Fort Portal,88,UG,1623605527,67,0.6617,30.2748,65.39,2.62
Mount Isa,82,AU,1623605527,35,-20.7333,139.5,53.37,2.3
Menton,53,FR,1623605528,78,43.7765,7.5044,89.6,5.77
Makat,91,KZ,1623605528,25,47.6469,53.3463,88.34,8.84
Newburgh,75,US,1623605529,66,41.5034,-74.0104,78.58,11.5
Banting,90,MY,1623605529,82,2.8167,101.5,78.94,1.97
Chokurdakh,76,RU,1623605529,75,70.6333,147.9167,48.65,6.69
Fomboni,31,KM,1623605530,69,-12.28,43.7425,78.06,15.35
Coffs Harbour,68,AU,1623605517,99,-30.3,153.1333,49.14,5.75
Marzuq,71,YE,1623605531,26,14.4,46.4667,81.37,4.07
Laguna,1,US,1623605531,59,38.421,-121.4238,84.63,1.01
Cherskiy,100,RU,1623605531,51,68.75,161.3,54.23,4.88
Sembakung,100,ID,1623605532,98,3.8167,117.25,76.93,1.83
Bilibino,95,RU,1623605532,49,68.0546,166.4372,52.79,2.28
Province of Mantua,0,IT,1623605533,72,45.1667,10.7833,92.44,13.42
Burns Lake,57,CA,1623605415,45,54.2331,-125.7533,60.22,4.52
Am Timan,98,TD,1623605533,40,11.0297,20.2827,90.39,8.93
Namatanai,43,PG,1623605534,78,-3.6667,152.4333,78.12,6.42
Key Largo,25,US,1623605402,60,25.0865,-80.4473,91.4,14.14
Ndélé,100,CF,1623605534,78,8.4109,20.6473,74.88,2.24
Saint-Joseph,62,RE,1623605535,78,-21.3667,55.6167,71.96,15.41
Tommot,73,RU,1623605535,93,58.9564,126.2925,42.58,3.47
Puerto Baquerizo Moreno,75,EC,1623605536,73,-0.9,-89.6,77.99,13.8
San Francisco,75,US,1623605314,82,37.7749,-122.4194,79.11,4.0
College,75,US,1623605303,75,64.8569,-147.8028,61.9,0.0
Imbituba,0,BR,1623605536,64,-28.24,-48.6703,69.69,5.28
Saint-Augustin,100,CA,1623605537,82,51.226,-58.6502,47.7,6.24
Bayir,64,TR,1623605537,59,37.2687,28.2167,74.23,5.08
Pangody,79,RU,1623605537,55,65.85,74.4859,66.27,8.61
Katherine,69,AU,1623605539,72,-14.4667,132.2667,62.92,0.0
Denison,1,US,1623605539,61,33.7557,-96.5367,94.91,5.01
Tessaoua,17,NE,1623605539,18,13.7574,7.9874,95.58,1.36
Sola,34,VU,1623605540,76,-13.8833,167.55,79.56,18.05
Bosaso,99,SO,1623605532,34,11.2842,49.1816,96.1,16.4
Marawi,56,PH,1623605540,95,7.9986,124.2928,67.64,2.06
Nóvita,100,CO,1623605541,97,4.9551,-76.6053,75.02,5.12
East London,0,ZA,1623605411,94,-33.0153,27.9116,65.34,2.3
Banepā,90,NP,1623605542,100,27.6298,85.5214,68.32,0.0
Lincoln,1,US,1623605542,32,40.8,-96.667,89.38,3.0
Kunduz,6,AF,1623605542,14,36.729,68.857,87.49,9.33
Ambilobe,50,MG,1623605543,90,-13.2,49.05,71.01,2.55
El Salvador,81,SV,1623605543,66,13.8333,-88.9167,78.84,1.92
Waingapu,90,ID,1623605544,83,-9.6567,120.2641,75.61,6.53
Los Llanos de Aridane,20,ES,1623605544,84,28.6585,-17.9182,69.55,12.66
Alghero,0,IT,1623605544,78,40.5589,8.3181,77.09,10.36
Touros,72,BR,1623605500,64,-5.1989,-35.4608,86.9,13.78
Faanui,11,PF,1623605545,78,-16.4833,-151.75,80.24,16.78
Airai,72,TL,1623605545,89,-8.9266,125.4092,57.07,1.86
Lebu,100,CL,1623605546,82,-37.6167,-73.65,51.17,15.9
Zhangye,44,CN,1623605546,50,38.9342,100.4517,63.66,7.65
Lata,88,PT,1623605547,71,40.1629,-8.3327,77.36,4.56
George Town,20,MY,1623605547,86,5.4112,100.3354,82.89,3.0
Khasan,78,RU,1623605548,90,42.4308,130.6434,60.87,2.04
Auki,100,SB,1623605548,88,-8.7676,160.7034,77.54,4.68
Boguchany,100,RU,1623605548,96,58.3814,97.4531,49.84,9.01
Saint-Philippe,61,RE,1623605549,79,-21.3585,55.7679,72.95,16.26
Hirara,100,JP,1623605549,84,24.8,125.2833,83.19,18.68
Rosignol,28,GY,1623605550,63,6.2833,-57.5333,85.26,6.11
Esperance,28,AU,1623605550,67,-33.8667,121.9,51.64,12.37
Bonthe,100,SL,1623605551,77,7.5264,-12.505,83.16,8.14
Yakovlevka,97,RU,1623605551,96,44.425,133.4772,59.68,1.23
Ormara,16,PK,1623605552,84,25.2088,64.6357,83.66,14.56
Sioux Lookout,40,CA,1623605552,72,50.1001,-91.917,64.78,9.22
Novo Aripuanã,11,BR,1623605553,36,-5.1206,-60.3797,94.98,3.27
Coahuayana Viejo,100,MX,1623605553,77,18.7333,-103.6833,81.88,0.6
Carnarvon,0,AU,1623605553,74,-24.8667,113.6333,60.87,9.22
Price,1,US,1623605554,9,39.5994,-110.8107,87.12,5.75
Norman Wells,90,CA,1623605554,93,65.282,-126.8329,50.04,9.22
Geraldton,40,AU,1623605555,77,-28.7667,114.6,62.13,6.91
Harper,100,LR,1623605555,78,4.375,-7.7169,80.91,8.46
Lüderitz,31,NA,1623605555,65,-26.6481,15.1594,63.64,7.25
Srednekolymsk,97,RU,1623605556,37,67.45,153.6833,63.23,5.84
Nanortalik,98,GL,1623605556,90,60.1432,-45.2371,37.06,7.0
Tūkrah,0,LY,1623605557,74,32.5341,20.5791,72.81,8.5
Buraidah,0,SA,1623605557,11,26.326,43.975,97.25,11.36
Shibetsu,10,JP,1623605557,94,43.659,145.132,55.17,6.17
Forio,6,IT,1623605558,85,40.7342,13.8646,78.42,3.0
Alofi,50,NU,1623605558,100,-19.0595,-169.9187,58.89,1.14
Naryan-Mar,90,RU,1623605559,35,67.6713,53.087,72.43,7.05
Verkhnyaya Sysert’,53,RU,1623605559,65,56.4372,60.75,71.4,4.85
Vardø,75,NO,1623605560,71,70.3705,31.1107,50.2,6.91
Ostrovnoy,76,RU,1623605560,50,68.0531,39.5131,68.43,18.01
Çubuk,40,TR,1623605560,43,40.2386,33.0322,73.15,8.05
San Cristobal,75,VE,1623605561,54,7.7669,-72.225,82.58,7.56
Bijie,27,CN,1623605561,89,27.3125,105.2942,66.6,9.13
Porto União,0,BR,1623605327,42,-26.2381,-51.0783,66.51,3.65
Cap Malheureux,21,MU,1623605562,78,-19.9842,57.6142,75.69,8.99
Oranjemund,37,NA,1623605562,81,-28.55,16.4333,57.27,6.24
Sfântu Gheorghe,64,RO,1623605563,88,45.8667,25.7833,55.81,7.0
Baza,25,ES,1623605563,33,37.4907,-2.7726,82.42,9.95
Yumen,51,CN,1623605563,38,40.2833,97.2,69.57,6.85
Coos Bay,90,US,1623605541,93,43.3665,-124.2179,64.31,6.91
Lemon Tree Passage,98,AU,1623605564,81,-32.7327,152.036,49.51,11.5
Yoichi,5,JP,1623605564,90,43.2039,140.7703,60.22,4.72
Bongor,100,TD,1623605565,40,10.2806,15.3722,89.91,7.34
Sirte,0,LY,1623605401,70,31.2089,16.5887,73.44,8.52
Turek,34,PL,1623605566,72,52.0155,18.5005,65.08,14.03
Newberry,94,US,1623605566,71,34.2746,-81.6187,81.5,4.38
Khovd,76,MN,1623605566,46,48.0056,91.6419,57.02,2.68
Codajás,65,BR,1623605567,49,-3.8367,-62.0569,90.3,2.51
Port Hedland,27,AU,1623605567,88,-20.3167,118.5667,64.45,0.0
Nyurba,72,RU,1623605568,58,63.2842,118.3319,48.49,5.19
Paragominas,36,BR,1623605568,46,-2.9667,-47.4833,91.31,3.22
Cabcab,100,PH,1623605569,76,13.6268,124.0515,82.13,4.47
Acapulco de Juárez,90,MX,1623605339,89,16.8634,-99.8901,80.42,3.44
Te Anau,97,NZ,1623605569,96,-45.4167,167.7167,50.11,1.16
Maningrida,53,AU,1623605570,93,-12.0667,134.2667,69.76,6.82
Raudeberg,100,NO,1623605570,87,61.9875,5.1352,56.98,23.87
Tasiilaq,100,GL,1623605571,84,65.6145,-37.6368,37.56,1.39
Tucano,76,BR,1623605571,43,-10.9631,-38.7867,85.42,8.43
Huarmey,28,PE,1623605571,74,-10.0681,-78.1522,70.21,8.93
Arkhara,64,RU,1623605572,96,49.4212,130.0842,57.78,9.17
Boa Vista,75,BR,1623605572,52,2.8197,-60.6733,91.38,5.75
Icatu,76,BR,1623605573,88,-2.7758,-44.0658,88.23,5.99
Itaituba,40,BR,1623605538,59,-4.2761,-55.9836,93.36,2.04
Cabo San Lucas,75,MX,1623605573,69,22.8909,-109.9124,92.52,10.36
Conakry,75,GN,1623605549,78,9.538,-13.6773,78.87,4.61
Kizilskoye,97,RU,1623605574,41,52.7255,58.8937,64.6,5.82
The Valley,20,AI,1623605574,74,18.217,-63.0578,86.09,14.97
Kuchera,6,IN,1623605575,33,26.9839,73.9719,96.01,17.16
Port Elizabeth,0,ZA,1623605574,88,-33.918,25.5701,62.89,26.46
Husavik,100,IS,1623605575,95,66.0449,-17.3389,37.31,21.03
Misratah,3,LY,1623605576,65,32.3754,15.0925,74.5,8.08
Samarai,81,PG,1623605576,83,-10.6167,150.6667,79.77,8.63
Dikson,100,RU,1623605576,99,73.5069,80.5464,33.91,11.23
Boyolangu,63,ID,1623605577,92,-8.1181,111.8935,75.42,2.42
Methven,67,NZ,1623605577,94,-43.6333,171.65,48.02,2.15
Krasnovishersk,87,RU,1623605578,96,60.4078,57.082,61.72,7.45
Klaksvík,100,FO,1623605578,82,62.2266,-6.589,50.92,19.04
Banes,98,CU,1623605578,56,20.9625,-75.7186,90.21,3.76
Bubaque,25,GW,1623605579,81,11.2833,-15.8333,81.63,18.28
Mokhsogollokh,35,RU,1623605579,80,61.4681,128.9203,42.87,3.87
Samsun Province,40,TR,1623605479,68,41.25,36.3333,68.76,5.75
Buchanan,100,LR,1623605580,83,5.8808,-10.0467,80.56,5.88
Puerto Escondido,90,MX,1623605580,54,15.85,-97.0667,81.43,0.0
Buldāna,98,IN,1623605581,69,20.5333,76.1833,80.56,12.66
Stornoway,75,GB,1623605581,82,58.2093,-6.3865,56.93,13.8
Codrington,90,AU,1623605581,82,-38.2667,141.9667,46.42,6.06
Nouadhibou,94,MR,1623605582,57,20.931,-17.0347,78.78,19.57
Lagoa,3,PT,1623605582,73,39.05,-27.9833,68.5,4.16
Non Sung,100,TH,1623605583,85,15.1801,102.2569,77.99,5.86
Kherālu,24,IN,1623605583,54,23.8833,72.6167,90.5,12.5
Wang Saphung,100,TH,1623605584,96,17.301,101.7685,72.5,4.07
Sørland,100,NO,1623605584,66,67.667,12.6934,46.47,19.08
Arraial do Cabo,40,BR,1623605585,56,-22.9661,-42.0278,73.26,10.36
Otjimbingwe,2,NA,1623605585,19,-22.35,16.1333,67.53,3.49
Forsytheganj,93,BY,1623605585,87,52.6333,29.7333,56.35,6.89
Panama City,40,PA,1623605586,72,8.9936,-79.5197,90.14,6.91
Omsukchan,72,RU,1623605586,63,62.5333,155.8,45.75,6.13
Greenfield,20,US,1623605378,37,42.9614,-88.0126,84.06,1.99
Saint-François,0,FR,1623605587,47,46.4154,3.9054,81.84,8.05
Aksu,87,CN,1623605587,49,41.1231,80.2644,67.57,4.81
Severo-Yeniseyskiy,11,RU,1623605587,87,60.3725,93.0408,36.34,3.87
Tame,89,CO,1623605588,77,6.461,-71.73,79.7,3.74
San Quintín,11,MX,1623605588,67,30.4833,-115.95,70.52,15.88
Dingle,100,PH,1623605589,88,10.9995,122.6711,76.96,2.3
Bibbiena,26,IT,1623605589,70,43.6965,11.8135,80.44,1.86
Mogzon,100,RU,1623605589,95,51.7435,111.9606,47.34,3.49
Batagay-Alyta,54,RU,1623605590,52,67.8006,130.4114,49.44,4.38
Vagay,86,RU,1623605590,60,57.9375,69.0217,62.69,4.72
Uglovskoye,62,RU,1623605591,92,51.3557,80.1942,54.12,7.02
Teya,18,RU,1623605591,84,60.3778,92.6267,39.69,4.14
Richards Bay,2,ZA,1623605591,60,-28.783,32.0377,67.08,7.23
Guerrero Negro,32,MX,1623605592,61,27.9769,-114.0611,72.0,13.56
Bagdarin,100,RU,1623605592,96,54.4333,113.6,49.48,2.15
Flin Flon,20,CA,1623605414,46,54.7682,-101.865,69.64,10.36
Buala,71,SB,1623605593,83,-8.145,159.5921,79.45,8.37
Tanete,95,ID,1623605593,97,-3.9443,119.7848,73.71,1.83
Mutsu,17,JP,1623605594,92,41.2894,141.2169,64.0,4.7
Emba,100,KZ,1623605594,31,48.8264,58.1442,74.12,11.1
Broken Hill,90,AU,1623605595,54,-31.95,141.4333,53.31,4.61
Kashgar,99,CN,1623605595,17,39.4547,75.9797,81.23,20.13
Davlekanovo,28,RU,1623605595,80,54.2215,55.0343,69.82,4.38
Marsabit,33,KE,1623605596,48,2.3284,37.9899,69.48,13.24
Pangnirtung,75,CA,1623605596,81,66.1451,-65.7125,39.2,13.8
Sinnamary,37,GF,1623605597,80,5.3833,-52.95,80.98,8.79
Longyearbyen,75,SJ,1623605597,64,78.2186,15.6401,33.64,17.27
Mugur-Aksy,92,RU,1623605597,85,50.35,90.5,39.67,4.5
Palamós,1,ES,1623605598,35,41.8484,3.1291,91.8,11.81
Nioki,58,CD,1623605598,39,-2.7167,17.6833,81.68,1.95
Abu Samrah,0,SY,1623605599,23,35.3029,37.1841,77.18,8.57
Tripoli,11,LY,1623605599,65,32.8752,13.1875,74.66,8.12
Vrangel',51,RU,1623605599,96,42.7297,133.0839,58.42,3.58
Baruun-Urt,100,MN,1623605600,78,46.6806,113.2792,60.06,19.71
Theunissen,7,ZA,1623605600,42,-28.411,26.7011,53.94,5.35
Alice Springs,90,AU,1623605601,77,-23.7,133.8833,60.35,8.05
Olbia,0,IT,1623605601,32,40.9214,9.4856,86.05,8.05
Kumul,81,CN,1623605602,26,42.8,93.45,76.64,16.96
Oban,100,GB,1623605602,99,56.4127,-5.4706,66.27,7.49
Canoinhas,0,BR,1623605603,38,-26.1772,-50.39,67.6,2.75
Bilma,80,NE,1623605603,10,18.6853,12.9164,99.01,12.84
Yulara,75,AU,1623605604,76,-25.2406,130.9889,53.44,8.05
Fairbanks,75,US,1623605512,75,64.8378,-147.7164,65.23,0.0
Ponta Delgada,20,PT,1623605605,64,37.7333,-25.6667,75.92,3.44
Harstad,99,NO,1623605605,92,68.799,16.5293,48.29,17.0
Oodweyne,93,SO,1623605606,42,9.4092,45.064,77.29,22.06
Arica,20,CL,1623605503,63,-18.475,-70.3042,67.55,8.05
Suntar,9,RU,1623605606,59,62.1444,117.6319,47.73,4.03
Kidal,3,ML,1623605607,9,18.4411,1.4078,106.11,3.96
Nkoteng,99,CM,1623605607,97,4.5167,12.0333,70.18,5.21
Paamiut,64,GL,1623605607,91,61.994,-49.6678,38.01,13.49
Dhārchula,12,IN,1623605608,90,29.85,80.5333,70.41,2.13
Zhicheng,100,CN,1623605608,84,30.2956,111.5047,80.44,4.18
Sault Ste. Marie,1,CA,1623605526,64,46.5168,-84.3333,75.76,8.05
Tilichiki,5,RU,1623605609,77,60.4667,166.1,44.8,5.5
Altay,25,CN,1623605610,49,47.8667,88.1167,48.72,3.83
Cianjur,59,ID,1623605610,95,-6.8224,107.1393,69.24,0.76
Avenal,0,US,1623605610,36,36.0041,-120.129,80.55,2.57
